x,xi,t,Q,spe,flv,pred f
0.1,0.3,-0.5,3.0,0,NS,7.039461047640823
0.11020408163265306,0.3,-0.5,3.0,0,NS,6.257001674898906
0.12040816326530612,0.3,-0.5,3.0,0,NS,5.349549363422572
0.1306122448979592,0.3,-0.5,3.0,0,NS,4.338807992366025
0.14081632653061224,0.3,-0.5,3.0,0,NS,3.2508251179389287
0.1510204081632653,0.3,-0.5,3.0,0,NS,2.1158403600552935
0.16122448979591836,0.3,-0.5,3.0,0,NS,0.9680269546767946
0.17142857142857143,0.3,-0.5,3.0,0,NS,-0.15489779699253958
0.1816326530612245,0.3,-0.5,3.0,0,NS,-1.2122260826505578
0.19183673469387755,0.3,-0.5,3.0,0,NS,-2.161022992865032
0.2020408163265306,0.3,-0.5,3.0,0,NS,-2.957165786461367
0.21224489795918366,0.3,-0.5,3.0,0,NS,-3.556757587977278
0.22244897959183674,0.3,-0.5,3.0,0,NS,-3.918069449708235
0.23265306122448978,0.3,-0.5,3.0,0,NS,-4.004264361246374
0.24285714285714285,0.3,-0.5,3.0,0,NS,-3.7873495522882235
0.2530612244897959,0.3,-0.5,3.0,0,NS,-3.254211911108227
0.26326530612244897,0.3,-0.5,3.0,0,NS,-2.416567619572568
0.27346938775510204,0.3,-0.5,3.0,0,NS,-1.3294180702468332
0.28367346938775506,0.3,-0.5,3.0,0,NS,-0.13272450408035086
0.29387755102040813,0.3,-0.5,3.0,0,NS,0.8080025415838419
0.3040816326530612,0.3,-0.5,3.0,0,NS,0.07951186917635601
0.3142857142857143,0.3,-0.5,3.0,0,NS,-0.18127455073747276
0.32448979591836735,0.3,-0.5,3.0,0,NS,-0.2152117338419819
0.3346938775510204,0.3,-0.5,3.0,0,NS,-0.19100730798267235
0.3448979591836735,0.3,-0.5,3.0,0,NS,-0.14857095224005193
0.35510204081632657,0.3,-0.5,3.0,0,NS,-0.10202905202604633
0.36530612244897953,0.3,-0.5,3.0,0,NS,-0.05706679277291463
0.3755102040816326,0.3,-0.5,3.0,0,NS,-0.016012596299351506
0.3857142857142857,0.3,-0.5,3.0,0,NS,0.020292385651188544
0.39591836734693875,0.3,-0.5,3.0,0,NS,0.051700651180905666
0.4061224489795918,0.3,-0.5,3.0,0,NS,0.07839814207890905
0.4163265306122449,0.3,-0.5,3.0,0,NS,0.10072528027920824
0.42653061224489797,0.3,-0.5,3.0,0,NS,0.1190764259671692
0.43673469387755104,0.3,-0.5,3.0,0,NS,0.13385470701582014
0.4469387755102041,0.3,-0.5,3.0,0,NS,0.14545837237821788
0.4571428571428571,0.3,-0.5,3.0,0,NS,0.15425369135118444
0.46734693877551015,0.3,-0.5,3.0,0,NS,0.1605851427142661
0.4775510204081632,0.3,-0.5,3.0,0,NS,0.16475749649509983
0.4877551020408163,0.3,-0.5,3.0,0,NS,0.16705551673903538
0.49795918367346936,0.3,-0.5,3.0,0,NS,0.16772821289502643
0.5081632653061224,0.3,-0.5,3.0,0,NS,0.1670020527720693
0.5183673469387755,0.3,-0.5,3.0,0,NS,0.16508091720185977
0.5285714285714286,0.3,-0.5,3.0,0,NS,0.1621422494478589
0.5387755102040817,0.3,-0.5,3.0,0,NS,0.15835038538516338
0.5489795918367346,0.3,-0.5,3.0,0,NS,0.15384759636422154
0.5591836734693877,0.3,-0.5,3.0,0,NS,0.14876206644460924
0.5693877551020408,0.3,-0.5,3.0,0,NS,0.1432074531369209
0.5795918367346938,0.3,-0.5,3.0,0,NS,0.13728692914240617
0.5897959183673469,0.3,-0.5,3.0,0,NS,0.13108755782477344
0.6,0.3,-0.5,3.0,0,NS,0.12469189294711747
0.1,0.3,0.0,3.0,0,NS,12.284705953119502
0.11020408163265306,0.3,0.0,3.0,0,NS,9.768757003506051
0.12040816326530612,0.3,0.0,3.0,0,NS,7.056890345603455
0.1306122448979592,0.3,0.0,3.0,0,NS,4.225683273390391
0.14081632653061224,0.3,0.0,3.0,0,NS,1.3607304803664064
0.1510204081632653,0.3,0.0,3.0,0,NS,-1.4447292435901122
0.16122448979591836,0.3,0.0,3.0,0,NS,-4.091598984240067
0.17142857142857143,0.3,0.0,3.0,0,NS,-6.477199110141605
0.1816326530612245,0.3,0.0,3.0,0,NS,-8.498133519026716
0.19183673469387755,0.3,0.0,3.0,0,NS,-10.05388453761637
0.2020408163265306,0.3,0.0,3.0,0,NS,-11.05133000070122
0.21224489795918366,0.3,0.0,3.0,0,NS,-11.410464825754632
0.22244897959183674,0.3,0.0,3.0,0,NS,-11.071757923741686
0.23265306122448978,0.3,0.0,3.0,0,NS,-10.00583867302031
0.24285714285714285,0.3,0.0,3.0,0,NS,-8.226709139827506
0.2530612244897959,0.3,0.0,3.0,0,NS,-5.810726346408375
0.26326530612244897,0.3,0.0,3.0,0,NS,-2.926067538212492
0.27346938775510204,0.3,0.0,3.0,0,NS,0.11572902536223184
0.28367346938775506,0.3,0.0,3.0,0,NS,2.749718775665981
0.29387755102040813,0.3,0.0,3.0,0,NS,3.805508601310294
0.3040816326530612,0.3,0.0,3.0,0,NS,0.7909816819686516
0.3142857142857143,0.3,0.0,3.0,0,NS,0.11941288313440172
0.32448979591836735,0.3,0.0,3.0,0,NS,-0.04758634801305582
0.3346938775510204,0.3,0.0,3.0,0,NS,-0.08224654246520295
0.3448979591836735,0.3,0.0,3.0,0,NS,-0.0676835996477863
0.35510204081632657,0.3,0.0,3.0,0,NS,-0.034665040917942105
0.36530612244897953,0.3,0.0,3.0,0,NS,0.004312253473893603
0.3755102040816326,0.3,0.0,3.0,0,NS,0.0420070314176878
0.3857142857142857,0.3,0.0,3.0,0,NS,0.07669956575567745
0.39591836734693875,0.3,0.0,3.0,0,NS,0.10685834126586828
0.4061224489795918,0.3,0.0,3.0,0,NS,0.13225613906662295
0.4163265306122449,0.3,0.0,3.0,0,NS,0.15345348633781142
0.42653061224489797,0.3,0.0,3.0,0,NS,0.17054972741577476
0.43673469387755104,0.3,0.0,3.0,0,NS,0.18372983416403618
0.4469387755102041,0.3,0.0,3.0,0,NS,0.19352073370410983
0.4571428571428571,0.3,0.0,3.0,0,NS,0.20032269419368098
0.46734693877551015,0.3,0.0,3.0,0,NS,0.2045201884968832
0.4775510204081632,0.3,0.0,3.0,0,NS,0.20633074154438877
0.4877551020408163,0.3,0.0,3.0,0,NS,0.20616139921072082
0.49795918367346936,0.3,0.0,3.0,0,NS,0.2043679990452231
0.5081632653061224,0.3,0.0,3.0,0,NS,0.20122163956810002
0.5183673469387755,0.3,0.0,3.0,0,NS,0.19691784816337746
0.5285714285714286,0.3,0.0,3.0,0,NS,0.1916255895246188
0.5387755102040817,0.3,0.0,3.0,0,NS,0.1855473078060588
0.5489795918367346,0.3,0.0,3.0,0,NS,0.17886268585415097
0.5591836734693877,0.3,0.0,3.0,0,NS,0.17171178586439828
0.5693877551020408,0.3,0.0,3.0,0,NS,0.16420350212590532
0.5795918367346938,0.3,0.0,3.0,0,NS,0.15642302890194937
0.5897959183673469,0.3,0.0,3.0,0,NS,0.14844537829559407
0.6,0.3,0.0,3.0,0,NS,0.14036248931889544
