x,xi,t,mu,f,delta f,GPD type,flavor
0.39698492,0.01,-0.17,2,0.8536991139985278,0.2589736342191491,0,NS
0.42713568,0.01,-0.17,2,0.7550987281080024,0.2292448695488145,0,NS
0.45728643,0.01,-0.17,2,0.6591912340164223,0.2003428518357791,0,NS
0.48743719,0.01,-0.17,2,0.5669134176885019,0.1725442248959802,0,NS
0.51758794,0.01,-0.17,2,0.4790874068005869,0.1460876757535342,0,NS
0.54773869,0.01,-0.17,2,0.3964445817854616,0.1211943384573774,0,NS
0.57788945,0.01,-0.17,2,0.3197826056409056,0.098123731,0,NS
0.6080402,0.01,-0.17,2,0.2500870670302463,0.077206265,0,NS
0.63819095,0.01,-0.17,2,0.1884265666928621,0.058802643,0,NS
0.66834171,0.01,-0.17,2,0.1356482174453289,0.043209689,0,NS
0.39698492,0.01,-0.65,2,0.6602027990011382,0.2016301771078024,0,NS
0.42713568,0.01,-0.65,2,0.5955820094709395,0.1820170824354739,0,NS
0.45728643,0.01,-0.65,2,0.5308892024599462,0.1624148554313529,0,NS
0.48743719,0.01,-0.65,2,0.4665744186699836,0.142942606,0,NS
0.51758794,0.01,-0.65,2,0.4031983324154042,0.1237513535133017,0,NS
0.54773869,0.01,-0.65,2,0.3414431323163507,0.1050462210849411,0,NS
0.57788945,0.01,-0.65,2,0.2821716639382475,0.087111272,0,NS
0.6080402,0.01,-0.65,2,0.2264463254895793,0.070308239,0,NS
0.63819095,0.01,-0.65,2,0.1754132172934036,0.055029685,0,NS
0.66834171,0.01,-0.65,2,0.1300742687839461,0.041626372,0,NS
0.39698492,0.01,-1.38,2,0.4797347449853386,0.1516989732378105,0,NS
0.42713568,0.01,-1.38,2,0.4391879677505269,0.1390796004378008,0,NS
0.45728643,0.01,-1.38,2,0.3976014770245351,0.1262228151079247,0,NS
0.48743719,0.01,-1.38,2,0.3553284365911756,0.1131948979479876,0,NS
0.51758794,0.01,-1.38,2,0.3127746558068934,0.1000862325919556,0,NS
0.54773869,0.01,-1.38,2,0.2704324268079618,0.087061729,0,NS
0.57788945,0.01,-1.38,2,0.2289267574863851,0.074377772,0,NS
0.6080402,0.01,-1.38,2,0.1890237637922466,0.062354908,0,NS
0.63819095,0.01,-1.38,2,0.1515521492357286,0.051312758,0,NS
0.66834171,0.01,-1.38,2,0.1172592632970246,0.041503886,0,NS
0.39698492,0.01,-0.34,2,0.6355442579447392,0.1954442214450603,0,NS
0.42713568,0.01,-0.34,2,0.560856296,0.1726635964464704,0,NS
0.45728643,0.01,-0.34,2,0.4900674853497585,0.151150687,0,NS
0.48743719,0.01,-0.34,2,0.4235928822765167,0.1310125286066441,0,NS
0.51758794,0.01,-0.34,2,0.361710093,0.1123019970913278,0,NS
0.54773869,0.01,-0.34,2,0.3045295133008786,0.095044786,0,NS
0.57788945,0.01,-0.34,2,0.2521334991502237,0.079293814,0,NS
0.6080402,0.01,-0.34,2,0.2047262717686653,0.065157366,0,NS
0.63819095,0.01,-0.34,2,0.1626370967343662,0.05276651,0,NS
0.66834171,0.01,-0.34,2,0.1261542104128991,0.042200424,0,NS
0.39698492,0.01,-1.24,2,0.4994797263002464,0.1600064053594989,0,NS
0.42713568,0.01,-1.24,2,0.4533850586307272,0.1449156099955395,0,NS
0.45728643,0.01,-1.24,2,0.4069248071655816,0.1299856231065657,0,NS
0.48743719,0.01,-1.24,2,0.3609301878180757,0.1154326346340366,0,NS
0.51758794,0.01,-1.24,2,0.3160656921129596,0.1013917000409856,0,NS
0.54773869,0.01,-1.24,2,0.272897272,0.087995118,0,NS
