2.4,1.5,0.05,0.05,0.2,0.15
3.1,1.36,0.08,0.08,0.11,0.13
3.7,2.1,0.08,0.08,0.18,0.14
4.8,1.92,0.16,0.15,0.15,0.12
5.9,2.7,0.14,0.13,0.26,0.28
7.5,3.65,0.31,0.27,0.41,0.38
8.3,3.2,0.2,0.18,0.25,0.27
12,3.5,0.26,0.24,0.3,0.26
12.2,3.6,0.38,0.34,0.39,0.37
19.5,4.6,0.54,0.45,0.48,0.44
23.1,6.52,1.27,0.98,1.23,0.96
40.5,6.1,2.75,1.56,2.15,0.85
