2.4,1.5,0.05,0.05,0.2,0.15,0.20615528128088306
3.1,1.36,0.08,0.08,0.11,0.13,0.15264337522473748
3.7,2.1,0.08,0.08,0.18,0.14,0.19697715603592209
4.8,1.92,0.16,0.15,0.15,0.12,0.2193171219946131
5.9,2.7,0.14,0.13,0.26,0.28,0.31304951684997057
7.5,3.65,0.31,0.27,0.41,0.38,0.5140038910358559
8.3,3.2,0.2,0.18,0.25,0.27,0.3360059523282289
12.0,3.5,0.26,0.24,0.3,0.26,0.3969886648255842
12.2,3.6,0.38,0.34,0.39,0.37,0.5445181356024793
19.5,4.6,0.54,0.45,0.48,0.44,0.7224956747275377
23.1,6.52,1.27,0.98,1.23,0.96,1.7679932126566549
40.5,6.1,2.75,1.56,2.15,0.85,3.490701935141412
